,0,1,2,3,4,5,6,7,8,9
count,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0
mean,0.8593782755792904,0.6014115982483361,0.06733695077631245,0.1501906852389935,0.5653490894293007,0.7354447977358904,0.14412161350741254,0.7847639922630953,0.8821968619734594,0.8645924988845717
std,0.05134804890136738,0.10514716592592387,0.045104824223725734,0.05010966656518475,0.07958020059572317,0.08043890308477762,0.08595736124809528,0.04512884178964838,0.06458084791813176,0.06220406474842117
min,0.691945511338914,0.441922057629237,0.0164929915099536,0.0286118636907756,0.380338529727661,0.471950761566531,0.0298469199285253,0.670357752555523,0.470202960876375,0.567229031095894
25%,0.8240773331843789,0.518572700953307,0.0369914990305864,0.1148715744683495,0.5092463209741993,0.6851092302088643,0.07074748574978842,0.7523194659159382,0.8703126017819713,0.838397808643911
50%,0.8614243272696485,0.555890768584307,0.04797822251973695,0.1570470804064325,0.55521317992093,0.7431444291124485,0.1243168852683,0.783629341924609,0.9000517185163,0.8776870124072695
75%,0.8966700922442402,0.6944367505590521,0.09096204958676005,0.1877542431565515,0.6144369243751717,0.7917561087632098,0.20276028035653476,0.8154577653248976,0.9195709040644637,0.907344480351029
max,0.979947279004112,0.854117553334927,0.465620231407477,0.349756160317153,0.87553272334219,0.935534599332128,0.447319349251737,0.921647579138785,0.949750216874816,0.959130552084401
